 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
42,106.254,105.166,107.356,107.486,105.177,123.279,106.628,108.929,110.001,110.307,109.288,108.144,107.669,108.897,106.585,107.563,115.146,109.852,119.264,114.445
43,106.190,105.135,106.843,107.223,105.133,120.300,106.558,108.825,109.992,110.005,109.062,108.187,109.910,108.646,106.570,107.597,113.922,109.608,117.613,113.958
44,106.148,105.180,106.460,106.878,105.023,118.126,106.442,108.691,109.899,109.694,108.756,108.050,110.381,108.250,106.527,107.489,113.030,113.259,116.223,119.588
45,106.168,106.831,106.170,106.710,105.122,116.430,106.320,108.749,109.999,109.548,108.745,108.114,110.223,108.093,106.602,107.579,112.349,114.315,115.196,121.249
46,106.199,107.171,105.988,110.749,105.101,115.324,106.333,108.628,109.974,109.420,108.633,108.049,109.813,107.779,106.578,107.584,113.709,113.045,114.274,119.400
47,106.152,106.906,105.725,114.750,105.104,120.000,106.521,108.589,109.931,109.176,108.446,108.137,109.524,107.713,106.460,107.473,120.396,111.915,113.693,117.729
48,106.153,106.667,105.873,113.673,105.071,127.267,111.506,108.529,109.909,109.078,108.363,108.086,109.205,107.457,106.513,107.530,119.254,110.963,119.942,116.510
49,106.156,106.389,108.496,112.226,105.112,124.121,112.835,108.513,109.887,109.003,108.321,108.058,108.997,107.348,106.536,107.466,117.030,110.461,121.220,115.483
50,106.035,106.025,108.604,110.827,105.015,120.877,111.699,108.430,109.820,108.866,108.183,108.054,108.712,107.196,106.479,107.421,115.316,109.868,119.197,114.532
51,106.084,105.842,108.159,109.920,105.022,118.484,110.457,108.498,109.903,108.839,108.241,108.047,108.467,107.067,106.536,107.453,114.209,109.687,117.467,114.067
52,106.085,105.700,107.580,109.219,105.115,116.855,109.567,108.472,109.946,108.833,108.245,108.029,108.375,107.116,106.535,107.459,113.246,110.857,116.083,116.092
53,106.143,105.622,107.186,108.651,105.088,115.453,108.915,108.431,109.896,108.704,108.183,108.055,108.111,107.060,106.514,107.379,112.369,114.564,115.102,121.592
54,106.116,105.440,106.670,108.031,105.041,118.856,108.388,108.390,109.955,108.680,108.168,108.020,108.083,106.882,106.495,107.433,112.587,113.747,114.176,120.145
55,106.097,105.364,106.336,107.629,105.117,127.090,107.911,108.400,109.947,108.780,108.110,108.030,107.984,106.869,106.505,107.409,119.323,112.561,113.544,118.332
56,106.090,105.225,106.116,107.296,105.627,124.541,107.571,108.367,109.867,108.638,108.137,108.045,107.911,106.838,106.443,107.442,119.622,111.631,118.500,116.843
57,106.115,105.149,105.814,106.962,107.316,121.149,107.255,108.368,109.782,108.627,108.076,108.001,107.742,106.790,106.453,107.397,117.250,110.830,121.091,115.720
